rank,City,avg_rating,review_count,rating_std,avg_polarity,rating_score,volume_score,sentiment_score,hotspot_score
104,Khandala,4.2789,2212,0.8636,0.3307,0.7836678366783668,0.6496584712993029,0.49958878504672904,0.686649
105,Kannur,4.2607,2436,0.8481,0.325,0.7782077820778207,0.6585954975415604,0.4953271028037383,0.685748
106,South Andaman Island,4.0492,10054,0.9449,0.2717,0.7147571475714757,0.7899648854876277,0.4554766355140188,0.685463
107,Khajuraho,4.2232,3140,0.8354,0.3124,0.7669576695766959,0.6821176942360047,0.4859065420560748,0.685295
108,Banni,5.0,1,,0.9,1.0,0.0,0.925233644859813,0.685047
109,Panchgani,4.2532,2133,0.8363,0.3504,0.7759577595775957,0.6462891147877344,0.5143177570093459,0.684729
110,Madikeri,4.1319,5369,0.8907,0.2995,0.7395673956739567,0.7318259720800551,0.47626168224299076,0.684584
111,Raipur,4.311,1582,0.7909,0.3439,0.7932979329793298,0.6186048772016278,0.5094579439252338,0.684122
112,Puri,4.0795,8105,0.9451,0.2693,0.7238472384723849,0.7699934430995237,0.4536822429906542,0.683658
113,Kumily,4.4413,775,0.7234,0.3388,0.8323883238832388,0.5525240814323674,0.5056448598130842,0.68308
114,Coonoor,4.2102,3126,0.867,0.3098,0.7630576305763058,0.6817036359632468,0.48396261682243,0.682832
115,Mansa,5.0,6,0.0,0.6512,1.0,0.11611828357532286,0.7392149532710282,0.682678
116,Goa Velha,4.207,3247,0.8249,0.3048,0.7620976209762097,0.685222634106569,0.4802242990654206,0.68266
117,Mukteshwar,4.3769,1125,0.7722,0.3311,0.8130681306813068,0.5870300913391494,0.49988785046728973,0.682621
118,Kaushambi,4.4557,542,0.7956,0.3871,0.8367083670836709,0.5194298372554488,0.5417570093457944,0.682535
119,Shillong,4.1298,5492,0.873,0.2812,0.7389373893738939,0.7339250839709529,0.4625794392523366,0.682162
120,Tirupati,4.1197,5871,0.855,0.2756,0.7359073590735907,0.7401094122505643,0.4583925233644861,0.681665
121,Diu,4.1978,3144,0.9118,0.3128,0.7593375933759338,0.6822356576598526,0.48620560747663555,0.681581
122,Umroli,5.0,1,,0.875,1.0,0.0,0.9065420560747663,0.681308
123,Cansaulim,4.4745,548,0.7339,0.3576,0.8423484234842348,0.5204484161625913,0.5197009345794392,0.681249
124,Jamshedpur,4.3499,1126,0.7401,0.3474,0.8049680496804967,0.5871123725232282,0.5120747663551402,0.681033
125,Udupi,4.296,1858,0.7784,0.3075,0.7887978879788798,0.6335016887067957,0.4822429906542057,0.680898
126,Matheran,4.227,2326,0.8312,0.3344,0.7680976809768099,0.6543143536371365,0.502355140186916,0.680814
127,Kullu,4.3206,1416,0.8383,0.3324,0.7961779617796177,0.6083367236093055,0.5008598130841122,0.680762
128,Dalhousie,4.2184,3090,0.8503,0.2879,0.7655176551765518,0.6806303428772897,0.46758878504672907,0.680466
129,Chikmagalur,4.1562,4104,0.9203,0.2973,0.7468574685746858,0.7069274513015207,0.4746168224299065,0.68043
130,Haridwar,4.1027,5757,0.8512,0.2867,0.7308073080730806,0.738292220557764,0.46669158878504674,0.68023
131,Jabalpur,4.2217,2409,0.8332,0.3274,0.7665076650766508,0.6575628385459203,0.4971214953271028,0.679947
132,Gokarna,4.2541,2554,0.8749,0.2803,0.7762277622776228,0.662978281194355,0.4619065420560748,0.679389
133,Varanasi,3.9478,15641,0.9548,0.2491,0.6843368433684337,0.8309235192920083,0.4385794392523364,0.679161
134,Sanguem,4.5735,272,0.6993,0.3729,0.8720487204872049,0.4556928885238501,0.5311401869158879,0.67896
135,Bharatpur,4.2389,2080,0.8432,0.3305,0.7716677166771668,0.643958004200186,0.49943925233644865,0.678909
136,Neil Island,4.2736,1809,0.8823,0.3193,0.7820778207782078,0.6310257728198648,0.49106542056074765,0.67856
137,Malvan,4.3091,1404,0.8035,0.3292,0.7927279272792728,0.6075484290115006,0.49846728971962617,0.678322
138,Hubli-Dharwad,4.4145,719,0.8043,0.3467,0.824348243482435,0.5455814980695667,0.5115514018691589,0.678159
139,Pozhuthana,4.8889,27,0.3203,0.4745,0.9666696666966669,0.24461355825344377,0.6071028037383177,0.678139
140,Igatpuri,4.4738,401,0.7483,0.3944,0.8421384213842138,0.4915619943172691,0.5472149532710282,0.677981
141,Nagpur,4.2061,2926,0.8702,0.2937,0.7618276182761828,0.6755772078348404,0.4719252336448599,0.677972
142,Assagao,4.8621,29,0.4411,0.4833,0.9586295862958629,0.25100849011004206,0.6136822429906543,0.677354
143,Rajkot,4.2838,1614,0.803,0.3163,0.7851378513785139,0.6204598934165163,0.4888224299065421,0.676471
144,Achrol,4.8235,34,0.387,0.4865,0.947049470494705,0.2652966777430217,0.6160747663551402,0.676329
145,Shirdi,4.1646,4344,0.8502,0.2508,0.7493774937749378,0.7121940842359602,0.4398504672897196,0.676317
146,Kamshet,4.5556,252,0.7736,0.3873,0.8666786667866679,0.4486408387279495,0.5419065420560748,0.676313
147,McLeod Ganj,4.0803,6741,0.9532,0.2521,0.7240872408724088,0.7529155506637869,0.4408224299065421,0.676083
148,Kumbhalgarh,4.2438,1899,0.8471,0.3233,0.7731377313773138,0.6355237320007986,0.49405607476635516,0.676037
149,Kalpetta,4.0415,7837,0.9227,0.2627,0.7124471244712447,0.7668771369923857,0.4487476635514019,0.676036
150,Athirappilly,4.3135,1040,0.8219,0.3652,0.7940479404794049,0.5797548971275491,0.5253831775700935,0.676027
151,Bagdogra,4.8222,45,0.4903,0.4335,0.9466594665946658,0.290628168033522,0.5764485981308411,0.675808
152,Bikaner,4.196,2444,0.8515,0.3225,0.7587975879758797,0.6588992741273632,0.4934579439252337,0.67576
153,Kolhapur,4.195,2836,0.8531,0.2938,0.7584975849758498,0.6726824280509132,0.4720000000000001,0.675454
154,Valsad,4.4516,434,0.7771,0.3831,0.8354783547835478,0.49887465394598596,0.538766355140187,0.675155
155,Ghaziabad,4.3623,886,0.7787,0.3382,0.8086880868808689,0.5649160020266655,0.5051962616822431,0.674858
156,Ausa,5.0,3,0.0,0.7,1.0,0.06424763733906047,0.7757009345794393,0.674414
157,Saputara,4.2602,1618,0.8298,0.3237,0.7780577805778058,0.6206891817159451,0.494355140186916,0.674107
158,Bhuj,4.1638,3278,0.8885,0.289,0.7491374913749138,0.6861031010246342,0.46841121495327104,0.674082
159,Malpe,4.447,557,0.7931,0.3298,0.8340983409834098,0.5219555997409339,0.4989158878504674,0.673419
160,Bhimtal,4.3462,936,0.8181,0.3345,0.8038580385803857,0.5699989502156385,0.5024299065420561,0.673415
161,Hampi,4.0393,6950,0.9142,0.2696,0.7117871178711787,0.7557452683088567,0.45390654205607484,0.673398
162,Ranchi,4.2555,1577,0.8377,0.3268,0.7766477664776646,0.6183116477644816,0.49667289719626173,0.673152
163,Maina,5.0,4,0.0,0.649,1.0,0.08493075682863838,0.737570093457944,0.672993
164,Thanjavur,4.1935,2667,0.8752,0.2896,0.7580475804758048,0.6669896065475868,0.46885981308411223,0.672893
165,Chinnakanal,4.7632,38,0.542,0.5022,0.928959289592896,0.2753269676094668,0.6278130841121495,0.67264
166,Poicha,4.6455,110,0.6146,0.4254,0.8936489364893649,0.3722775291729595,0.570392523364486,0.672586
167,Jammu City,4.1608,3140,0.8552,0.2881,0.7482374823748238,0.6821176942360047,0.4677383177570094,0.672302
168,Kota,4.3271,859,0.7897,0.3613,0.7981279812798127,0.5620507215725856,0.5224672897196262,0.672173
169,Kottayam,4.3212,1124,0.8265,0.3159,0.7963579635796358,0.5869477370487225,0.48852336448598144,0.671968
170,Chandauli,4.75,40,0.4935,0.5011,0.9249992499924999,0.27996242087879863,0.6269906542056076,0.671886
