rank,Place,avg_rating,review_count,rating_std,avg_polarity,rating_score,volume_score,sentiment_score,hotspot_score
130,Somnath Mahadev Temple,4.4,1320,0.7772,0.3694,0.8500000000000001,0.6936859918807828,0.6396571428571428,0.761037
131,Hanuman Tok,4.4562,982,0.7065,0.3887,0.86405,0.662112188043358,0.6506857142857143,0.760796
132,Marari Beach,4.5078,965,0.7339,0.3369,0.8769499999999999,0.6602484030691494,0.6210857142857142,0.760767
133,Chandigarh Rose Garden,4.4112,1126,0.7892,0.3971,0.8528,0.6767172486875213,0.6554857142857143,0.760512
134,Khajuraho Temples,4.3403,1734,0.8072,0.3525,0.835075,0.7228114563121071,0.63,0.760381
135,Colva Beach,4.3729,1668,0.8399,0.327,0.8432249999999999,0.7186680595304386,0.6154285714285714,0.760299
136,Nahargarh Fort,4.2896,1968,0.8547,0.3699,0.8224,0.7363281775715019,0.639942857142857,0.760087
137,Ele Experience Farm,4.9021,194,0.331,0.3416,0.975525,0.4892932152670297,0.6237714285714286,0.759305
138,Lal Tibba,4.3955,1388,0.8205,0.3441,0.848875,0.6990486301537878,0.6252000000000001,0.759192
139,Tomb of Itimad-ud-Daulah,4.3463,1698,0.7949,0.3402,0.8365750000000001,0.7205713644397507,0.6229714285714286,0.759053
140,Yoga in Jaipur,4.8043,230,0.4954,0.3945,0.9510749999999999,0.5073931768933653,0.654,0.758555
141,Sabarmati Ashram / Mahatma Gandhi's Home,4.2573,2736,0.7946,0.2992,0.814325,0.7715131934834388,0.599542857142857,0.758525
142,Swaminarayan Temple,4.5957,470,0.6216,0.4219,0.898925,0.5835074742887105,0.6696571428571428,0.758446
143,Coakers Walk,4.4055,1127,0.7478,0.3825,0.851375,0.6768120034815626,0.6471428571428571,0.75816
144,Brihadeeshwara Temple,4.4246,1213,0.7393,0.3383,0.85615,0.6846617311005018,0.6218857142857143,0.757851
145,Utorda Beach,4.5647,641,0.6796,0.3595,0.891175,0.6165978181793479,0.634,0.757367
