Place,avg_rating,review_count,rating_std
ArtDesh Foundation,5.0,2,0.0
Fever Pitch Holidays,5.0,3,0.0
Tons Falls,5.0,4,0.0
Firdaus Enterprises,5.0,1,
Arts of the Earth,5.0,1,
Peacock Garden,5.0,1,
Kelva Beach,5.0,12,0.0
Olakkannesvara Temple,5.0,1,
Khamore Bird Sanctuary,5.0,1,
Kalarasa Art House,5.0,5,0.0
Auroville Papers,5.0,1,
Thirumoorthi Water Reservior,5.0,1,
ODCAR,5.0,2,0.0
Modart Studio Art Gallery,5.0,1,
Potters House Church,5.0,2,0.0
The Ashleys,5.0,2,0.0
Postal Ground,5.0,1,
Mod'Art International,5.0,2,0.0
The Craft Connexion,5.0,1,
The Elephant Company,5.0,1,
The Elephant House Spa,5.0,1,
Badrakaliamman Temple,5.0,1,
The Eventers Hospitality,5.0,3,0.0
Bado Rasbadi Mandir,5.0,4,0.0
MANAV PATEL,5.0,1,
Miriglotah Falls,5.0,3,0.0
Kala Shree Art Temple,5.0,4,0.0
Poonam Fulmani,5.0,2,0.0
Poonam Art Gallery,5.0,1,
Khoj-aao! Adventures,5.0,19,0.0
Thasiama Seno Neihna,5.0,1,
Baisipali Wildlife Sanctuary,5.0,1,
Ele Jaipur,5.0,5,0.0
Prantika,5.0,6,0.0
Ekalokam Trust for Photography,5.0,1,
Hakumatkam Temple,5.0,1,
Telescope House,5.0,1,
Kajal Dighi Wonderland,5.0,1,
Teliya Talab,5.0,3,0.0
Balaji Temple Mehkar,5.0,1,
Baladevjeu Temple,5.0,1,
Bajrabahari Temple,5.0,1,
Baladevajew Temple,5.0,2,0.0
Temple of Dromton,5.0,1,
Templo de SAI BABA,5.0,4,0.0
International Yoga Ashram,5.0,1,
Thabore,5.0,2,0.0
Khurmadera beach,5.0,2,0.0
Thala Malai,5.0,4,0.0
Badaghagara Waterfall,5.0,2,0.0
The Grape Adventures & Holidays,5.0,23,0.0
Miranika,5.0,1,
Khanduala Falls,5.0,3,0.0
The Tropical Botanical Garden & Research Institute,5.0,1,
The Village Gallery,5.0,2,0.0
Ayya Art Gallery,5.0,2,0.0
Holy Rosary Church,5.0,1,
Ayurveda Center Om-Namaste,5.0,1,
Ethnic Creations,5.0,1,
Geykar Sinyi,5.0,3,0.0
Ma Yamuna Mandir,5.0,1,
Azhikkal Beach,5.0,2,0.0
Pisach Mochan Kund,5.0,3,0.0
Piravimarundeeswarar Temple,5.0,1,
Avant Garde Antiques & Art,5.0,2,0.0
Millenium Garden,5.0,1,
Thiru Kachamkurissi Temple,5.0,5,0.0
Thirukoilur-Sri Raghothama Theertha Brindavana Uttharadi Mutt,5.0,2,0.0
Ocean Spa & Salon,5.0,3,0.0
Azad Hind Gram,5.0,3,0.0
The Tea House,5.0,2,0.0
Homedara Siva Mandir Temple,5.0,3,0.0
Ghanerao adventures,5.0,1,
The Hidden Oasis,5.0,3,0.0
The Jantar Mantar,5.0,1,
Baba Sumeshwar Nath Temple,5.0,1,
Handi Suwara Theatre,5.0,1,
The Lotus Houseboat,5.0,1,
Baba Neem Karoli Hanuman Mandir,5.0,1,
Handibhanga Waterfall,5.0,4,0.0
Poloforestcottage,5.0,1,
Play Nation Adventure Park,5.0,2,0.0
Baba Bhole Peer,5.0,2,0.0
The Philosophical,5.0,1,
MGM APJ Abdul Kalam Astrospace Science Centre & Club,5.0,3,0.0
Ennan Mata Temple & Waterfall,5.0,1,
The Shop,5.0,12,0.0
The Stage Boutique,5.0,2,0.0
Kalakaleshwara Temple,5.0,1,
Rakasganda Fall,5.0,1,
District Tourism Promotion Council,5.0,1,
Kot Bhramari Temple,5.0,2,0.0
Shree Giridhar Dham Ashram,5.0,1,
Shiva Yoga Niketan,5.0,1,
Rudrapada Temple,5.0,1,
Shivaji Garden,5.0,2,0.0
Shivaji Nagar Mahmoorganj,5.0,1,
Grey Book,5.0,1,
Chemould Prescott Road,5.0,1,
Roza Rozario Art Gallery,5.0,1,
Shobhnath Temple,5.0,1,
Shonar Gauranga Temple,5.0,1,
Chawla Art Gallery,5.0,1,
Shree Akkalkot Swami Samarth Maharaj Math,5.0,3,0.0
Shree Ayyappa Vishnu Temple,5.0,5,0.0
Shree Balaji Mandir,5.0,3,0.0
Shree BhavBhavesvar Mahadev,5.0,2,0.0
Ropeway to Bhattafall,5.0,1,
Chaturmukeshvara Temple,5.0,1,
Shree Durgaparameshwari Nagakannika temple,5.0,1,
Rukmini Devi temple,5.0,3,0.0
ShivGem - Glass Stone Manufacturers,5.0,1,
