City,avg_polarity,avg_subjectivity,review_count,dominant_sentiment
Sadri,0.3705,0.6132,2456,Positive
Purulia,0.3703,0.6075,291,Positive
Mangan,0.3703,0.6114,7,Positive
Nattarasankottai,0.3698,0.6397,7,Positive
Nameri National Park,0.3698,0.5613,43,Positive
Antarvedi,0.3692,0.6073,50,Positive
Nandurbar,0.3691,0.5735,15,Positive
Baghpat,0.369,0.6429,5,Positive
Sabalgarh,0.3688,0.6312,2,Positive
Neemuch,0.3687,0.5371,41,Positive
Dongargarh,0.3682,0.7,1,Positive
Anjarle,0.3676,0.6103,267,Positive
Khubi,0.3673,0.5912,84,Positive
Peermade,0.367,0.5934,126,Positive
Kumta,0.3668,0.5794,39,Positive
Vembar,0.3667,0.7,1,Positive
Ambasamudram,0.3667,0.55,2,Positive
Bardoli,0.3667,0.5667,1,Positive
Bataw,0.3667,0.5944,1,Positive
Delwara,0.3665,0.6239,7,Positive
Latur,0.3659,0.5853,50,Positive
Lonavala,0.3656,0.5917,8474,Positive
Bhandara,0.3653,0.5544,25,Positive
Athirappilly,0.3652,0.603,1040,Positive
Kalka,0.3646,0.5156,36,Positive
Muzaffarpur,0.3639,0.6136,107,Positive
Sinquerim,0.3636,0.5818,2233,Positive
Badlapur,0.3635,0.5928,29,Positive
Kotgarh,0.3634,0.5647,8,Positive
Chelamattom part,0.3634,0.5286,21,Positive
Nongpoh,0.3633,0.624,98,Positive
Suryanelli,0.363,0.4663,8,Positive
Nuh,0.3627,0.516,5,Positive
Jhunjhunu,0.3626,0.6,153,Positive
Ariyankuppam,0.3625,0.6875,2,Positive
Shahpura,0.3625,0.5196,2,Positive
Lalitpur,0.3619,0.5301,5,Positive
Nongstoin,0.3617,0.5841,14,Positive
Deesa,0.3615,0.5688,9,Positive
Kota,0.3613,0.5767,859,Positive
Vellamunda,0.3612,0.5982,38,Positive
Murdeshwar,0.3609,0.595,757,Positive
Mhaismal,0.3608,0.6188,18,Positive
Auli,0.3598,0.5934,133,Positive
Hinjewadi,0.3597,0.4982,20,Positive
Satpura National Park,0.3592,0.5971,55,Positive
Narendranagar,0.359,0.6236,41,Positive
Utorda,0.3589,0.5953,643,Positive
Bajaura,0.3585,0.5239,7,Positive
Buldana,0.3584,0.5355,109,Positive
Chicolna,0.3583,0.5667,3,Positive
Teghoria,0.3583,0.7226,1,Positive
Palia Kalan,0.3582,0.5694,9,Positive
Agonda,0.3579,0.5943,2385,Positive
Vattavada,0.3579,0.6186,30,Positive
Bareilly,0.3578,0.5283,185,Positive
Chikka Madhure,0.3577,0.6345,7,Positive
Cansaulim,0.3576,0.6058,548,Positive
Havelock Island,0.3574,0.556,7046,Positive
Ketkawale,0.3572,0.5871,40,Positive
Betul,0.3568,0.6205,22,Positive
Gorubathan,0.3567,0.6533,5,Positive
Sirmour,0.3566,0.5827,24,Positive
Gandhinagar,0.3566,0.5668,1180,Positive
Kottarakkara,0.3565,0.5866,20,Positive
Mandrem,0.3561,0.5958,876,Positive
Maihar,0.3561,0.5564,86,Positive
Jalandhar,0.3557,0.5362,978,Positive
