Place,primary_city
Ahuja Art Museum,Kolkata
Aifacs Gallery,New Delhi
Aikatan,Kolkata
Aina Mahal,Bhuj
Ainavilli Sidhi Vinayaka Temple,Amalapuram
Air Force Museum,Shillong
Airavatesvara Temple,Kumbakonam
Aishbagh Stadium,Bhopal
Aishmuqam Shrine,Anantnag
Aithal Snake Park,Puttur
Aiyarappar temple,Thanjavur
Aiyyanpara,Kottayam
Ajabgarh Fort,Alwar
Ajaigarh Fort,Khajuraho
Ajanta Caves,Ajanta
Ajanta Tea Centre,Durgapur
Ajapala Nigrodha Tree,Bodh Gaya
Ajari Temple,Sirohi
Ajatshatru Fort,Rajgir
Ajgaibinath Temple,Bhagalpur
Aji Dam Garden,Rajkot
Ajinkyatara Fort,Satara
Ajit Nath Prasad Vihara,Palanpur
Ajit Nath Temple,Mehsana
Ajmal Khan Road,New Delhi
Ajmera Bhagto Park,Mumbai
Ajmeri Gate,New Delhi
Ajodhya Hill and Forest Reserve Area,Purulia
Ajwa Garden,Vadodara
Akal Darshini Lake,Rajauri
Akal Takht,Amritsar
Akal Wood Fossil Park,Jaisalmer
Akalya Cabs Karur,Karur
Akar Prakar,Kolkata
Akasa Ganga,Tirupati
Akasaganga Teertham,Tirupati
Akash Art Gallery & Bookshop,Hampi
Akash Deep Market and Legi Complex,Yupia
Akbar's Palace & Museum,Ajmer
Akbar's Tomb,Sikandra
Akbari Masjid,Ajmer
Akdhardham Temple,New Delhi
Akhand Chandi Palace,Chamba
Akhnoor Fort,Jammu City
Akka Mahadevi Caves,Srisailam
Akka Tangi Gudda,Hampi
Akkalkot Swami Math,Vadodara
Akkalkot Swami Samarth Maharaj Temple,Solapur
Akkanabasadi Temple,Mysuru (Mysore)
Akkulam Bridge,Trivandrum
Akkulam Lake,Trivandrum
Akloli Kund,Thane
Aksa Beach,Mumbai
Akshardham Temple,Ahmedabad
Akshaya Patra,Vrindavan
Akshaya Vat,Allahabad
Akshi Beach,Alibaug
Akshya Vat Vraksha,Muzaffarnagar
Akshyalingaswamy Temple,Nagapattinam
Akurli Mata Temple,Mumbai
Alagarkoil Temple and Shrine,Madurai
Alagunachi Amman Temple,Pollachi Town
Alai Darwaza,New Delhi
Alai Minar,New Delhi
Alakapuri Waterfalls,Kannur
Alakhnath Temple,Bareilly
Alamgir Dargah,Aurangabad
Alamgir Mosque,Varanasi
Alamparai Fort,Kanchipuram
Alang-Madan-Kulang,Nashik
Alangadu Jain Temple,Tiruppur
Alangudi Temple,Thanjavur
Alankar Jewellery,Nellore
Alappuzha Beach,Alappuzha
Alappuzha Lighthouse,Alappuzha
Alarnatha Temple,Puri
Alathiyoor Hanuman Temple,Malappuram
Albert Hall Museum,Jaipur
Alcha,Santiniketan
Alchi Choskor Monastery,Leh
Alchi Monastary,Alchi
Alexander Point,Matheran
Alfred Park,Allahabad
Alha Deo Mandir,Maihar
Ali Babas Cave,Majorda
Ali Sagar Reservoir,Nizamabad
Alibag Beach,Alibaug
"Alibag Beach, Alibag",Alibaug
Alice Garg National Seashells Museum,Jaipur
Aligarh Fort,Aligarh
Alipiri Mettu,Tirupati
Aliwardi Masjid,Gurugram (Gurgaon)
Aliyar Dam,Valparai
Aliyar Dam Reservoir Park,Coimbatore
Alka Puri,Badrinath
Alkapuri Haveli,Vadodara
All Rajasthan Shilp Gram Udyog,Jaipur
All Saints Cathedral,Allahabad
All Saints Church,Shillong
All Saints' Cathedral,Nagpur
Allagammai Kashi Vishvanathar,Tirunelveli
Allahabad Fort,Allahabad
Allahabad High Court,Allahabad
Allahabad Museum,Allahabad
Allahabad University,Allahabad
Allalanatha Temple,Hassan
Allen Forest Zoo,Kanpur
Allen Park,Kolkata
Alleppey Backwaters,Alappuzha
Alleppey Premium Cruise,Kumarakom
Alliance Francaise,Secunderabad
Allied Arihant Mall,Chennai
Almatti Dam,Bijapur
Almighty Apostolic Faith Church,Chennai
Aloha Surf India,Agonda
Aloobari Gompa Monastery,Darjeeling
Alopi Devi Mandir,Allahabad
Alpather Lake,Gulmarg
Alpha One Mall,Amritsar
Alsa Mall,Chennai
Althan National Park,Surat
Aluva Shiva Temple,Kochi (Cochin)
Alwal Ganesh Temple,Hyderabad
Alwarthirunagari Permual Temple,Tiruchendur
Alwaye Palace,Aluva
Amaazia Water Park,Surat
Amanalingeshwarar Temple,Udumalpet
Amanora Mall,Pune
Amar Jawan Jyoti,Jaipur
Amar Kutir,Santiniketan
Amar Mahal Palace Museum,Jammu City
Amar Sagar Jain Temple,Jaisalmer
Amar Sagar Lake,Jaisalmer
Amarabati Park,Digha
Amaragiri Malekal Tirupati Temple,Hassan
Amaranarayana Temple,Chikkaballapur
Amaravathi Archaeological Museum,Amaravathi
Amaravathi Crocodile Farm,Tiruppur
Amaravathi Dam,Coimbatore
Amaravathi Stupa,Amaravathi
Amaravathy Reservoir,Udumalpet
Amaravati Buddhist Site,Guntur
Amaravati Museum,Vijayawada
Amareshwar Mahadeo Temple,Sawai Madhopur
Amareshwar Mahadev Temple,Amarkantak
Amareswara Shrine,Konark
Amareswara Temple,Guntur
Amarnath Cave,Anantnag
Amarnath Dham,Ahmedabad
Amarnath Temple,Anantnag
Amarsons Garden,Mumbai
Amartex Shoppers World,Mohali
Amazeum Children's Museum,Pune
Amba Ashram,Nadiad
Amba Bai Mata Mandir,Mumbai
Amba Mata Mandir,Jaipur
Ambaa Teertha,Kalasa
Ambadevi Mandir,Mumbai
Ambagarh Fort,Nagpur
Ambaji Temple,Ambaji
Ambalapuzha Sree Krishna Temple,Alappuzha
Ambapani Sanctuary,Bhawanipatna
Ambapur Step Well,Ahmedabad
Ambara Chowk,Muzaffarpur
Ambardi Safari Park,Dhari
Ambarnath Temple,Matheran
Ambattur Christian Assembly Hall,Chennai
Ambazari Lake and Garden,Nagpur
Ambe Dham Temple,Kutch
Ambedkar Park,Gorakhpur
Ambedkar Stadium,New Delhi
Amber Fort,Amer
Amber Fort Palace,Jaipur
Ambeshwar Ji Temple,Sirohi
Ambica arts,Pushkar
Ambience Mall,Gurugram (Gurgaon)
Ambika Devi Mandir,Ambala
Ambika Devi Temple,Kangra
Ambika Mataji temple,Prantij
Ambika Niketan Temple,Surat
Amboli Water Falls,Amboli
Ambotia Shiva Mandir Temple,Kurseong
Ambrai Ghat,Udaipur
Ambreshwar Shiva Temple,Mumbai
Ambuja City Center Mall,Raipur
Ambur House Art Gallery,Chennai
Ambur Shoe Lounge,Ambur
Amdavad ni Gufa,Ahmedabad
Ameen Peer Dargah Shrine,Kadapa
Ameenpur Lake,Hyderabad
Amer Elephant Safari,Jaipur
Amer Fort,Amer
Amer jeep Safari,Jaipur
Aminabad,Lucknow
Amirthi Zoological Park,Vellore
Amkhoi Fossil Wood Park,Shantiniketan
Amkunj Beach,North Andaman Island
Amma Mandapam Bathing Ghats,Tiruchirappalli
Ammaji Mandir,Ayodhya
Ampani Hills,Bhawanipatna
Amrakh Mahadev,Udaipur
Amrapali Museum,Jaipur
Amrapali Water Park,Lucknow
Amrapur Sarees,Vadodara
Amrit Dhara Waterfall,Koriya
Amrita School of Medicine,Kochi (Cochin)
Amritaghateswarar-Abirami Temple,Thirukadaiyur
Amritapuri Ashram,Kollam
Amritvarshini Vav,Ahmedabad
Amrut Distilleries Private Limited,Bengaluru
Amrutanjan Point,Lonavala
Amruteshwar Temple,Ahmednagar
Amrutesvara Temple,Chikmagalur
Amrutheshwara Temple,Bhadravati
Amul,Anand
Ana Sagar Lake,Ajmer
Ana's Boutique,Chennai
Anagha Mahalakshmi,Solapur
Analgadh Hill,Rajkot
Anamalai Tiger Reserve,Pollachi Town
Anamalai Wild Life Sanctuary,Pollachi Town
Anamudi Shola National Park,Kanthalloor
Anand Amusement Park,Durgapur
"Anand Amusement Park, Durgapur, West Bengal, India",Durgapur
Anand Bhavan,Allahabad
Anand Dham,Ahmednagar
Anand Niketan Kirtishala,Howrah
Anand Sagar,Shegaon
Anand Sagar Resort & Water Park,Ambarnath
Ananda Buddha Vihara Temple,Secunderabad
Ananda Ranga Pillai House,Pondicherry
Ananda Stupa,Vaishali
Anandashram,Kanhangad
Anandeshwar Temple,Kanpur
Anandi Swami Temple,Jalna
Anandi Water Park,Lucknow
Anandmayee Ashram,Ranchi
Anant Art Gallery,Kolkata
Ananta Spa MGM,Muttukadu
Ananta Vasudeva Temple,Bhubaneswar
Anantagiri Hills,Hyderabad
Anantasagaram,Anantapur
Anantashayana Vishnu,Cuttack
Ananteshwar Temple,Udupi
Anantha Padmanabha Temple,Udupi
Ananthaa Padmanabha Swaamy Temple,Chennai
Ananthagiri Hills,Vikarabad
Ananthamangalam Shree Veerapathira Dhasapuja Anchaneyar Temple,Thirukadaiyur
Ananthanatha Swami Temple,Kalpetta
Ananthankadu Nagaraja Temple,Trivandrum
Ananthapura Lake Temple,Kasaragod
Anasakti Ashram,Kausani
Anashi Waterfall,Karwar
Anastasia Art Gallery,Kolkata
Anchar Lake,Srinagar
